"Name","Id","Rarity","Description"
"Crowbar","4c4ec53e-fe60-4e7b-8ea9-fc6056852544",1,"Gordon Freeman's weapon of choice."
"Leisure Suit","d9a930cb-43c6-42a7-996a-9bd85ed39a70",3,"""Winning this game is about as easy as holding onto a mud wrestler!"""
"Pizza","34661156-32ed-4ceb-911d-c3762a286443",1,"Michelangelo's favorite food, dude."
"Get Over Here","5adbf62d-691a-4752-a36b-c1490a502397",3,"Chance to cuddle up to your opponent. Serious snuggles."
"Banana Peel","e51bb298-ed0e-4b0f-abe7-a42e54cba7ce",1,"Person behind you 50% chance -100 points"
"Leisure Suit","25cd35a1-6215-4e5f-b9f0-87ffb29d6fe3",3,"""Winning this game is about as easy as holding onto a mud wrestler!"""
"Mushroom","a3601893-e6d8-4509-878d-90ea4388ecf8",1,"Maybe edible mushroom."
"Wedge","a05670c6-6172-4835-93f9-da565ebdb85d",1,"Red Wing soldier that bolsters your confidence."
"Cardboard Box","44ef2b8b-20a9-473d-8ae8-fb7533cf19d0",2,"Shhh. You can't see me."
"Mushroom","ac5105ac-73fa-42e8-bc0f-09b85fd03d48",1,"Maybe edible mushroom."
"Charizard","067f3a04-8026-4536-8d27-3a7fe75f041c",2,"It's hard to be a diamond in a rhinestone world."
"Moogle","f74ff675-c0f7-4e00-b08d-e23419e9ce63",2,"Kupo! Your luck is temporarily increased."
"Master Sword","6b571c6c-fc08-48df-8ec8-345da6f1c4a2",3,"It's dangerous to go alone!"
"Red Shell","b365d753-f155-4a34-9ba4-a52ac36c7d22",1,"Toss ahead of you to unsuspecting victim."
